1.82E+02,5.87E+02,1.63E+02,5.70E+01,5.06E-01
9.91E+02,4.42E+02,2.54E+02,4.00E+01,9.41E-01
5.69E+02,2.11E+02,2.20E+02,2.80E+01,7.61E-01
9.23E+02,2.50E+01,1.83E+02,4.80E+01,8.40E-01
1.02E+03,6.25E+02,1.67E+02,1.20E+01,5.83E-01
1.03E+03,7.43E+02,1.05E+02,5.30E+01,5.19E-01
1.43E+03,4.10E+01,1.18E+02,3.00E+00,7.40E-01
9.59E+02,8.43E+02,2.71E+02,4.50E+01,7.60E-01
7.74E+02,1.25E+02,1.98E+02,1.50E+01,8.27E-01
1.38E+02,6.17E+02,1.50E+02,1.80E+01,2.73E-01
3.22E+02,1.50E+03,3.00E+02,7.50E+01,6.31E-01
1.50E+03,5.12E+02,3.00E+02,7.50E+01,1.13E+00
1.20E+03,1.00E+01,3.00E+02,7.50E+01,1.08E+00
1.26E+03,3.11E+02,3.00E+02,7.50E+01,8.32E-01
1.50E+03,1.28E+03,3.00E+02,7.50E+01,7.92E-01
9.31E+02,1.50E+03,1.00E+02,7.50E+01,3.91E-01
1.50E+03,8.98E+02,3.00E+02,7.50E+01,7.30E-01
5.87E+02,6.31E+02,3.00E+02,7.50E+01,5.57E-01
1.00E+01,1.00E+01,1.00E+02,0.00E+00,3.56E-01
1.00E+01,1.13E+03,1.00E+02,0.00E+00,0.00E+00
5.50E+02,1.09E+03,1.00E+02,0.00E+00,2.02E-01
1.04E+03,2.06E+02,3.00E+02,4.80E+01,1.62E+00
1.08E+03,2.12E+02,1.64E+02,0.00E+00,7.67E-01
9.22E+02,2.44E+02,3.00E+02,0.00E+00,1.04E+00
1.16E+03,1.16E+03,1.00E+02,0.00E+00,2.97E-01
2.10E+02,2.49E+02,3.00E+02,0.00E+00,7.37E-01
1.05E+03,9.50E+01,3.00E+02,7.50E+01,1.46E+00
1.12E+03,1.41E+02,3.00E+02,0.00E+00,1.19E+00
1.12E+03,1.81E+02,3.00E+02,7.50E+01,1.07E+00
1.50E+03,6.53E+02,1.00E+02,0.00E+00,3.19E-01
1.28E+03,5.32E+02,3.00E+02,7.50E+01,1.07E+00
9.66E+02,1.37E+02,3.00E+02,7.50E+01,9.66E-01
1.01E+03,8.60E+01,3.00E+02,0.00E+00,7.94E-01
1.07E+03,1.00E+01,3.00E+02,0.00E+00,7.82E-01
1.05E+03,3.01E+02,3.00E+02,0.00E+00,1.03E+00
1.41E+03,4.04E+02,3.00E+02,0.00E+00,8.00E-01
1.50E+03,3.57E+02,3.00E+02,7.50E+01,8.67E-01
1.02E+03,2.82E+02,3.00E+02,7.40E+01,8.22E-01
1.08E+03,1.29E+02,3.00E+02,7.50E+01,1.82E+00
1.09E+03,1.08E+02,3.00E+02,4.30E+01,8.20E-01
1.07E+03,1.45E+02,3.00E+02,3.90E+01,7.42E-01
1.07E+03,1.23E+02,3.00E+02,4.30E+01,7.40E-01
1.08E+03,1.53E+02,3.00E+02,7.50E+01,1.35E+00
1.09E+03,1.41E+02,3.00E+02,7.50E+01,6.33E-01
1.39E+03,5.60E+02,3.00E+02,7.50E+01,5.28E-01
1.07E+03,1.43E+02,3.00E+02,7.50E+01,5.40E-01
